Annotee_Identifier	Human_Readable_Description
FBpp0198287	nose resistant to fluoxetine protein n terminal domain containing
FBpp0167951	trypsin
FBpp0148525	ornithine aminotransferase
FBpp0123856	mediator of rna polymerase ii transcription subunit
FBpp0180828	acylphosphatase
FBpp0198690	aspartate trna ligase mitochondrial
FBpp0196262	gh
FBpp0231575	protein g12
FBpp0271211	programmed cell death protein c terminal domain containing
FBpp0120329	e3 ubiquitin protein ligase fancl
FBpp0072357	ejaculatory bulb specific protein
FBpp0083009	retinol dehydrogenase
FBpp0074901	cytochrome p450 312a1
FBpp0163476	conserved oligomeric golgi complex subunit
FBpp0139983	duf 4776 domain containing protein
FBpp0182268	protein sgt
FBpp0192662	histone h4
FBpp0127815	doublecortin domain containing echinoderm microtubule associated protein
FBpp0174471	gl
FBpp0164963	prespore protein dp
FBpp0085853	glutathione s transferase
FBpp0183995	homeobox protein b h1 x1
FBpp0203657	cub domain containing protein
FBpp0249967	kh domain containing rna binding signal transduction associated protein
FBpp0269275	rrp protein
FBpp0126178	ring type e3 ubiquitin transferase
FBpp0132950	acb domain containing protein
FBpp0166864	succinate dehydrogenase assembly factor 4 mitochondrial
FBpp0120838	pax and binding protein x1
FBpp0123845	large ribosomal subunit protein p1
FBpp0075519	peroxisomal atpase pex
FBpp0145730	protein twisted gastrulation
FBpp0170806	plus domain containing protein
FBpp0070702	axoneme associated protein mst 2
FBpp0321098	echinoderm microtubule associated protein cg
FBpp0226588	serine palmitoyltransferase small subunit a
FBpp0159267	malate dehydrogenase
FBpp0168052	cysteine trna ligase
FBpp0205580	mitochondrial dicarboxylate carrier
FBpp0254646	peptidase s1 domain containing protein
FBpp0194956	arf gap rho domain and containing protein
FBpp0224741	protein hemingway
FBpp0266542	peptidase s1 domain containing protein
GA10557-PA	alkyl transferase
FBpp0165673	tantalus domain containing protein
FBpp0160181	duf 4774 domain containing protein
FBpp0192486	modifier of mdg
FBpp0324710	large ribosomal subunit protein ul16m
FBpp0255579	myb sant dna binding domain containing protein
FBpp0248327	gpi ethanolamine phosphate transferase
FBpp0253536	chymotrypsin protease ctrl
FBpp0229451	ptb domain containing adapter protein ced
FBpp0117302	schwannomin interacting protein 1
FBpp0168049	dna binding protein smubp
FBpp0183543	receptor type tyrosine protein phosphatase kappa
FBpp0169316	kinesin protein kif13a
FBpp0258636	krueppel x3
FBpp0183379	sam domain containing protein
FBpp0174053	coiled coil domain containing protein 85c
FBpp0155145	cytosol aminopeptidase
FBpp0185062	hmg box domain containing protein
FBpp0176710	ubiquitin carboxyl terminal hydrolase
FBpp0293377	gd
FBpp0136155	ionotropic glutamate receptor c terminal domain containing protein
FBpp0071921	bee milk protein
FBpp0136012	replication protein a subunit
GA19597-PA	replication termination factor
FBpp0150481	nucleosome assembly protein 1
FBpp0197990	protein associating with the carboxyl terminal domain of ezrin
FBpp0198468	zinc finger protein
FBpp0213327	gd
FBpp0142171	seminal fluid protein
FBpp0228526	non specific serine threonine protein kinase
FBpp0167703	proton coupled zinc antiporter slc30a9 mitochondrial
FBpp0256814	serine protease snake
FBpp0196473	willebrand factor and egf domain containing protein
FBpp0197742	j domain containing protein
FBpp0245278	cg
FBpp0268390	procollagen proline 4 dioxygenase
FBpp0257905	malectin domain containing protein
FBpp0137461	protein sprint
FBpp0119061	serpin domain containing protein
FBpp0153025	titin
FBpp0145447	gh
FBpp0188639	gl
FBpp0324888	suppressor of stellate protein
FBpp0244122	transmembrane protein x1
FBpp0156981	endophilin b1 x1
FBpp0071052	40s ribosomal protein s14a
FBpp0158158	gh
FBpp0139894	nucleoporin nup
FBpp0288843	duf 4794 domain containing protein
FBpp0179562	phenoloxidase activating factor
FBpp0176567	diacylglycerol kinase
FBpp0185234	dependent rna helicase
FBpp0186377	peptidase s1 domain containing protein
FBpp0133993	ankyrin repeat and mynd domain containing protein
FBpp0188119	atp dependent rna helicase
FBpp0228520	gram negative bacteria binding protein
FBpp0073085	phosphatidylserine lipase abhd16a
FBpp0177874	at22836p
FBpp0135403	protein new glue
FBpp0196120	hmg box domain containing protein
FBpp0225805	fibrinogen c terminal domain containing protein
FBpp0159098	dnaj subfamily c member x1
FBpp0239728	transcription factor gaga
FBpp0075912	glutaminyl peptide cyclotransferase
FBpp0165006	protein alp x1
FBpp0252027	duf 4794 domain containing protein
FBpp0262258	ig domain containing protein
FBpp0262568	actin 5c
FBpp0187774	c2 domain containing protein
FBpp0187335	chloride channel clic protein
FBpp0166348	wd repeat domain containing protein
FBpp0159848	serine threonine protein kinase warts
GA13925-PA	poly a rna polymerase gld b
FBpp0205749	synapse associated protein of kda
FBpp0083766	transcription elongation factor b polypeptide
FBpp0140165	phosphomevalonate kinase
GA10970-PA	ejaculatory bulb specific protein
FBpp0324704	protein turandot e
FBpp0243489	mucin 5ac
FBpp0191934	arrestin c terminal domain containing protein
FBpp0148430	gh
FBpp0257533	shugoshin c terminal domain containing protein
FBpp0239068	26s proteasome non atpase regulatory subunit
GA15578-PA	5 hydroxyisourate hydrolase
FBpp0194751	aspartate transaminase
FBpp0154736	transmembrane protein x1
GA17247-PA	kazal domain containing protein
FBpp0326406	dopamine n acetyltransferase x1
FBpp0164721	zinc finger protein
FBpp0266142	transcriptional cofactor bfc domain containing protein
FBpp0172270	oxidoreductase domain containing protein
FBpp0127489	asparagine synthetase [glutamine hydrolyzing]
FBpp0155861	isopentenyl diphosphate delta isomerase
FBpp0085904	death domain containing protein
FBpp0160807	ubiquitinyl hydrolase
FBpp0205453	thiamin pyrophosphokinase protein
FBpp0246155	peptidase s1 domain containing protein
FBpp0247512	ig domain containing protein
FBpp0133163	lysozyme
FBpp0115758	protein efr cmp44e x1
FBpp0125482	transforming growth factor beta induced transcript protein
FBpp0130563	signal peptidase complex subunit
FBpp0195406	fat storage inducing transmembrane protein
FBpp0246704	wd repeat containing protein
FBpp0270799	growth hormone inducible transmembrane protein
GA16397-PA	atp binding cassette sub family g member
FBpp0200033	gd
FBpp0128743	very long chain 3r 3 hydroxyacyl coa dehydratase
FBpp0204842	importin subunit beta
FBpp0207468	cytochrome p450 313a4
FBpp0252153	importin subunit beta
FBpp0261648	dolichyl phosphate mannose protein mannosyltransferase
FBpp0428170	dynein heavy chain 7 axonemal
FBpp0255486	yemanuclein
FBpp0180141	btb domain containing protein
FBpp0216984	beta carbonic anhydrase
FBpp0258613	monocarboxylate transporter
FBpp0147783	down syndrome cell adhesion molecule protein x1
FBpp0075044	beta hydroxysteroid dehydrogenase delta 5 4 isomerase
FBpp0163937	dirp domain containing protein
FBpp0271152	ef hand domain containing protein
FBpp0255003	fatty acid hydroxylase domain containing protein
FBpp0264957	chk kinase domain containing protein
FBpp0119525	cytochrome p450 313b1
FBpp0320485	regulator of g protein signaling
FBpp0248551	seminal fluid protein
FBpp0120026	pftaire interacting factor 1b
FBpp0314004	decaprenyl diphosphate synthase subunit
FBpp0137611	cad protein
FBpp0239886	phospholipid transporting atpase
FBpp0264499	gm b
FBpp0225264	coiled coil y protein
FBpp0264403	voltage dependent calcium channel subunit alpha delta
FBpp0175010	angiotensin converting enzyme
FBpp0202520	gd
FBpp0253372	carbonic anhydrase
FBpp0231983	deoxyribonuclease tatdn
FBpp0122746	leucine rich repeat containing protein
FBpp0246202	dna directed rna polymerases i ii and iii subunit rpabc
FBpp0120863	vegetative cell wall protein gp
FBpp0140554	dynein light chain roadblock type
GA19963-PA	tubulin polyglutamylase complex subunit
FBpp0163046	t box transcription factor tbx
FBpp0115379	transcription factor mafg
FBpp0183464	gl
FBpp0175066	ufsp 2 dub catalytic domain containing protein
GA21056-PA	heterochromatin protein 1a
FBpp0269922	duf 4200 domain containing protein
FBpp0168260	endoplasmic reticulum metallopeptidase
FBpp0245994	wash complex subunit strumpellin
FBpp0264004	glycoprotein endo alpha mannosidase protein
FBpp0142220	mansc domain containing protein
FBpp0220478	n alpha acetyltransferase
FBpp0144206	gmp synthase glutamine hydrolyzing
FBpp0136550	n acetylglucosamine phosphate deacetylase
FBpp0270042	ionotropic glutamate receptor c terminal domain containing protein
FBpp0166390	hydroxylysine kinase
FBpp0259126	peptidase s1 domain containing protein
FBpp0073985	mucin 14a
FBpp0258262	f box domain containing protein
GA12601-PA	gustatory receptor
FBpp0198991	insulin receptor substrate
FBpp0152476	large ribosomal subunit protein bl19m
FBpp0245642	a kinase anchor protein c terminal domain containing
FBpp0193766	drosophila melanogaster
FBpp0148944	tr type g domain containing protein
FBpp0161328	peptidoglycan recognition protein lf
FBpp0207618	cytochrome b5 heme binding domain containing protein
FBpp0247042	protein tsetseep domain containing
FBpp0172340	microprocessor complex subunit dgcr
FBpp0322339	glycine rich cell wall structural protein
FBpp0236917	kazal domain containing protein
FBpp0262196	peptidase m12b domain containing protein
FBpp0185154	gh
GA18321-PA	hedgehog protein
FBpp0145983	gd
FBpp0179184	protein boule
GA16662-PA	n chimaerin
FBpp0205546	major facilitator superfamily mfs profile domain containing protein
FBpp0218586	sh domain containing protein
FBpp0234648	selenoprotein bthd
FBpp0165722	polyprotein
FBpp0124485	e3 ubiquitin protein ligase
FBpp0070005	neurogenic locus notch protein
FBpp0253345	laccase
FBpp0134755	gdp man 3 glcnac 2 pp dol alpha mannosyltransferase
FBpp0086370	aspartate transaminase
FBpp0114910	rab proteins geranylgeranyltransferase component a
FBpp0161828	protein scai
FBpp0134659	presenilin
FBpp0076118	peptidase s1 domain containing protein
FBpp0087115	small ribosomal subunit protein us
FBpp0233914	tbc domain family member
FBpp0136500	calpain c
GA13617-PA	anoctamin
FBpp0167667	phosphoenolpyruvate carboxykinase gtp
FBpp0229770	major facilitator superfamily mfs profile domain containing protein
FBpp0148894	adp ribosyl cyclase cyclic ribose hydrolase
FBpp0183360	protein mis
FBpp0324498	udp glucuronosyltransferase
FBpp0202151	fibrinogen c terminal domain containing protein
FBpp0182186	phosphatidylinositol 4 kinase type 2
FBpp0233356	tetraspanin
FBpp0113629	glutaminyl peptide cyclotransferase protein
FBpp0322852	protein trc x1
FBpp0136396	gamma butyrobetaine dioxygenase
FBpp0269521	major heat shock kda protein
FBpp0120696	family riboflavin transporter member 3
FBpp0121331	trna specific adenosine deaminase
FBpp0167262	endonuclease
FBpp0182955	protein tyrosine phosphatase
FBpp0147615	gh
FBpp0187968	protein serac
FBpp0133983	cytosol aminopeptidase
FBpp0136476	gamma aminobutyric acid receptor subunit alpha
FBpp0075297	calcium channel flower
FBpp0177822	gl
FBpp0240081	family riboflavin transporter member 3
FBpp0243547	proteasome subunit alpha type
FBpp0074972	nedd family interacting protein
FBpp0160889	transmembrane protein
FBpp0078237	protein osiris
FBpp0290879	trypsin
FBpp0167807	bed type domain containing protein
FBpp0161919	unknown protein
GA13412-PA	nuclear transcription factor y subunit beta x1
FBpp0155314	c type lectin domain containing protein
FBpp0148662	thioredoxin domain containing protein
FBpp0135035	gg
FBpp0138797	small nuclear ribonucleoprotein sm d3
FBpp0154279	bess domain containing protein
FBpp0076594	lysosomal dipeptide transporter mfsd
FBpp0176114	alkaline phosphatase
FBpp0143561	syntaxin n terminal domain containing protein
FBpp0244651	endoplasmic reticulum resident protein
FBpp0316999	drosophila melanogaster
FBpp0165847	rrm domain containing protein
FBpp0215781	olfactomedin domain containing protein
FBpp0155106	endoplasmic reticulum metallopeptidase
FBpp0179507	large ribosomal subunit protein ul
FBpp0142854	acylphosphatase domain containing protein
FBpp0256477	muscarinic acetylcholine receptor dm
FBpp0116786	nuclear pore glycoprotein p62
FBpp0144116	mitochondrial import inner membrane translocase subunit
FBpp0152583	peptidase s1 domain containing protein
FBpp0247290	complex lyr protein domain containing
GA21215-PA	protein melted x1
FBpp0073779	glutathione transferase
FBpp0177320	large ribosomal subunit protein el
FBpp0226054	phosphatidic acid phosphatase type 2 haloperoxidase domain containing protein
FBpp0185164	fas domain containing protein
FBpp0313296	ferm and pdz domain containing protein
FBpp0221369	splicing factor u2af kda subunit
FBpp0239575	gl
FBpp0158494	farnesol dehydrogenase
FBpp0202704	g box binding factor
FBpp0077060	ddb and cul associated factor
FBpp0073354	ubiquitin modifier activating enzyme
FBpp0083750	cystinosin
FBpp0149101	bladder cancer associated protein
FBpp0289548	antennal specific protein os c
FBpp0226174	glycerol phosphate phosphatase
FBpp0128663	oxidative stress responsive serine rich protein
GA19482-PA	phospholipase a1
FBpp0251727	cytochrome p450
FBpp0114592	serine enriched protein x4
FBpp0241215	organic cation transporter protein
FBpp0169143	alkaline phosphatase
FBpp0230386	40s ribosomal protein s10b
FBpp0255257	ig domain containing protein
FBpp0233190	alanyl trna editing protein aarsd b
FBpp0169922	double strand break repair protein
FBpp0193798	at rich interactive domain containing protein 1b x1
FBpp0169306	protein anachronism
FBpp0261493	sodium hydrogen exchanger
GA17599-PA	fasciclin 2
FBpp0118862	v type proton atpase subunit s1 protein
FBpp0132643	duf 4794 domain containing protein
FBpp0083155	gm
FBpp0218819	serine protease htra mitochondrial
FBpp0175457	bed type domain containing protein
FBpp0244201	pwwp domain containing protein
FBpp0259350	lipase domain containing protein
FBpp0248476	peptidase s1 domain containing protein
FBpp0191874	gustatory receptor
FBpp0127051	wurmchen 2 a
FBpp0248965	npc intracellular cholesterol transporter 1b
FBpp0193550	histone h2b
FBpp0252752	mrna 2 o methyladenosine n 6 methyltransferase
FBpp0326245	gp pde domain containing protein
FBpp0195720	voltage dependent calcium channel subunit alpha delta
FBpp0126516	j domain containing protein x1
FBpp0240284	essential protein yae n terminal domain containing
FBpp0207762	red n terminal domain containing protein
FBpp0211539	splicing factor 3b subunit protein
FBpp0185736	geranylgeranyl transferase type subunit alpha
FBpp0158352	wd repeat containing protein
FBpp0220190	protein hook
FBpp0226491	protein roadkill x2
FBpp0083550	adp ribosylation factor protein
FBpp0317233	sodium and transporter
FBpp0253698	unknown protein
FBpp0070885	nadh dehydrogenase
FBpp0120396	chromobox 3a hp gamma drosophila
FBpp0146195	gh
FBpp0166662	n acetylgalactosaminide beta galactosyltransferase
FBpp0240547	nose resistant to fluoxetine protein
FBpp0141818	golgin subfamily a member protein
FBpp0128048	adenylate cyclase
FBpp0161246	glutaminyl peptide cyclotransferase protein
FBpp0142825	ras associating domain containing protein
FBpp0133334	dendritic cell specific transmembrane protein domain containing
FBpp0138856	stanley cup
FBpp0137127	glutaredoxin domain containing cysteine rich protein
FBpp0110466	non specific serine threonine protein kinase
FBpp0225748	26s proteasome non atpase regulatory subunit
FBpp0245292	ran gtpase activating protein
FBpp0187924	atp synthase subunit d mitochondrial
FBpp0265717	stress associated endoplasmic reticulum protein
