Annotee_Identifier	Human_Readable_Description
CARHR059220.1	leaf rust disease resistance locus receptor protein kinase
CARHR262180.2	hhip protein
CARHR015370.1	dynamin protein
CARHR155590.1	atp dependent dna helicase hel
CARHR136190.1	pentatricopeptide repeat containing protein
AT3G52950.2	cbs domain containing protein cbscbspb
CARHR002180.3	serine arginine rich splicing factor
CARHR232700.2	cryptochrome dash
CARHR019400.1	e3 ubiquitin protein ligase rnf
CARHR239600.3	b3 domain containing protein rem
CARHR003490.2	eukaryotic translation initiation factor subunit i
CARHR159210.1	upf protein
AT4G36800.1	nedd conjugating enzyme ubc
AT5G58240.2	bifunctional bis 5 adenosyl triphosphatase
AT1G24800.1	f box protein
CARHR108300.1	disease resistance protein
CARHR214630.1	histone chaperone asf
CARHR011270.1	serine carboxypeptidase
CARHR163840.1	mitochondrial adenyl nucleotide antiporter slc25a24
CARHR003570.1	auxin responsive protein iaa
AT2G14710.1	f box repeat protein
AT1G30520.4	2 succinylbenzoate coa ligase
CARHR052460.1	beta glucosidase
CARHR085310.1	sun domain containing protein
CARHR226050.1	ectonucleoside triphosphate diphosphohydrolase
CARHR061970.1	ring h2 finger protein atl
AT1G08360.1	large ribosomal subunit protein ul
CARHR066290.1	serine carboxypeptidase
CARHR074950.1	pentatricopeptide repeat containing protein
CARHR123230.1	external alternative nad p h ubiquinone oxidoreductase mitochondrial
CARHR173230.2	deubiquitinase otud6b
CARHR272100.1	26s proteasome regulatory subunit
AT5G03540.3	exocyst complex component
CARHR077030.4	peptidyl trna hydrolase 2
AT4G02850.1	unknown protein
AT5G14490.1	nac domain containing protein
AT2G33370.1	large ribosomal subunit protein ul
CARHR185580.1	myrosinase
CARHR055350.1	peptide chain release factor
AT3G63250.3	betaine homocysteine s methyltransferase
CARHR208910.1	nac domain containing protein
AT5G53550.1	metal nicotianamine transporter ysl
AT3G25170.1	protein ralf
CARHR233910.2	subtilisin protease sbt
CARHR081060.1	beta glucosidase sfr chloroplastic
AT5G28540.1	endoplasmic reticulum chaperone bip
CARHR265560.1	udp sugar pyrophosphorylase
AT5G39410.1	saccharopine dehydrogenase oxidoreductase
CARHR091880.1	kinesin protein
AT5G16440.1	isopentenyl diphosphate delta isomerase 1
CARHR125600.3	rap domain containing protein chloroplastic
AT2G19350.1	transmembrane protein
AT4G08535.2	f box protein
CARHR004360.1	transcription initiation factor tfiid subunit
CARHR031240.1	aquaporin nip
CARHR096160.1	f box protein
CARHR175550.1	receptor protein
AT1G63260.2	tetraspanin
CARHR076030.1	glycosyltransferase domain containing protein
AT5G15910.1	miorex complex component
CARHR290400.1	sentrin specific protease
AT2G43820.1	udp glucosyltransferase
AT3G07670.2	n lysine methyltransferase setd
AT2G42690.1	phospholipase a1 chloroplastic
AT1G54180.2	protein brevis radix
AT4G07990.1	chaperone protein dnaj
AT4G28730.1	glutaredoxin mitochondrial
AT1G62590.2	pentatricopeptide repeat containing protein
CARHR186630.1	dna polymerase iii polc type
AT2G28940.1	cytoplasmic serine threonine protein kinase
CARHR219550.1	cytochrome p450
CARHR288380.1	disease resistance protein
AT3G27460.5	saga associated factor
AT1G70230.1	protein trichome birefringence
AT3G07430.1	ylmg protein 1 2 chloroplastic
CARHR124200.2	unknown protein
AT5G57140.1	phosphatase dcr
AT5G56790.1	proline rich receptor protein kinase perk
AT5G67240.2	rna exonuclease
AT2G41770.1	unknown protein
AT1G71320.1	f box protein
CARHR025830.1	lysosomal membrane ascorbate dependent ferrireductase
CARHR140890.2	lysophosphatidylcholine acyltransferase
AT4G26840.1	small ubiquitin modifier 2
AT2G20590.2	reticulon protein
CARHR157420.1	factor of dna methylation
AT3G25980.4	mitotic spindle checkpoint protein mad
AT2G24270.1	nadp dependent glyceraldehyde phosphate dehydrogenase
AT3G04910.3	serine threonine protein kinase wnk
AT2G16490.1	factor of dna methylation
CARHR162220.1	u box domain containing protein
CARHR185210.1	major pollen allergen ole e
AT5G41580.1	e4 sumo protein ligase pial
CARHR028970.2	gdsl esterase lipase
CARHR138520.1	hydroxyacylglutathione hydrolase 1
AT1G09500.1	bifunctional dihydroflavonol 4 reductase
CARHR162570.1	f box fbd protein
AT1G64750.1	protein deletion of suv suppressor 1 i
AT3G10300.2	calpain catalytic subunit
CARHR049320.1	small ribosomal subunit protein us
AT3G05040.1	protein hasty
AT1G60650.3	glycine rich rna binding protein 2
AT1G11730.1	hydroxyproline o galactosyltransferase hpgt
CARHR184450.1	eukaryotic peptide chain release factor subunit
AT4G13710.1	pectate lyase
AT2G43490.7	tbc domain family member
AT3G24715.3	raf serine threonine protein kinase
AT2G45470.1	fasciclin arabinogalactan protein
AT1G53670.1	peptide methionine sulfoxide reductase msrb
AT3G62790.1	nadh dehydrogenase [ubiquinone] iron sulfur protein 5
AT1G53040.4	alkaline ceramidase tod
CARHR063990.2	phosphoglucomutase 1
CARHR105690.1	adp ribosylation factor 2
AT4G24230.6	acyl coa binding domain containing protein
AT5G53550.5	metal nicotianamine transporter ysl
AT1G17460.1	telomere repeat binding protein
AT2G01450.1	mitogen activated protein kinase
AT2G17000.2	mechanosensitive ion channel protein
AT2G02765.3	4 phosphopantetheinyl transferase
CARHR129100.1	lrr receptor protein
AT3G49390.3	polyadenylate binding protein
CARHR074760.1	peroxisomal biogenesis factor
CARHR289350.1	cell division cycle 20 1 cofactor of apc complex
CARHR155460.1	f box protein
AT5G66300.1	nac domain containing protein
AT2G23070.1	casein kinase ii subunit alpha
CARHR087130.1	unknown protein
CARHR210490.2	protein reveille
AT1G79690.1	nudix hydrolase
AT2G47890.1	zinc finger protein constans
CARHR082770.1	protein duf 642 l galactono lactone responsive gene
CARHR193420.1	dr associated corepressor
AT5G62930.3	isoamyl acetate hydrolyzing esterase
AT1G64480.1	calcineurin b protein
AT1G12230.2	transaldolase
AT3G22880.2	dna repair protein rad
AT3G08710.3	thioredoxin h type
CARHR166990.3	l 2 hydroxyglutarate dehydrogenase
CARHR204770.1	transcription factor
CARHR281340.1	mitochondrial carrier family protein
AT5G20660.1	vacuolar membrane protease
AT3G60920.1	beach domain containing protein
AT2G29065.1	della protein
AT4G21100.1	dna damage binding protein
CARHR197920.3	trna guanosine 18 2 o methyltransferase
CARHR245460.1	patatin 1
AT5G05550.3	trihelix transcription factor
AT1G14570.3	plant ubx domain containing protein
CARHR220190.2	protein transport sec
CARHR081950.2	translation initiation factor eif2b subunit
AT5G04150.2	protein transcription factor
AT2G34680.2	187 kda microtubule associated protein air
AT3G29375.2	factor of dna methylation
AT1G21580.1	zinc finger ccch domain containing protein
AT1G28100.3	protein neoxanthin deficient
CARHR061420.1	tuliposide a converting enzyme amyloplastic
CARHR171130.2	tubulin specific chaperone d
CARHR178680.1	defensin protein
AT1G10740.1	lipase
AT1G22650.1	neutral alkaline invertase 1
AT3G58340.2	math domain and coiled coil containing protein
CARHR274470.1	atp binding cassette sub family f member
AT3G19800.1	large ribosomal rna subunit accumulation protein yced 2 chloroplastic
AT4G39470.1	protein slow green 1 chloroplastic
AT4G31800.2	transcription factor wrky
AT3G59540.1	large ribosomal subunit protein el
AT3G03726.1	f box protein
CARHR056410.1	proline transporter
CARHR008140.1	zinc finger protein wip
CARHR089910.1	e3 ubiquitin protein ligase arkadia
CARHR009060.2	f box protein
AT3G26700.3	proline rich receptor protein kinase perk
AT2G43710.2	stearoyl [acyl carrier protein] 9 desaturase 1 chloroplastic
CARHR239830.1	spermidine coa acyltransferase
AT1G21690.4	replication factor c subunit
AT4G40040.1	histone h3 2
AT1G30470.2	serine threonine protein phosphatase regulatory subunit 3
AT5G24780.1	stem kda glycoprotein
AT1G62200.1	protein nrt ptr family
AT1G28440.1	leucine rich repeat receptor serine threonine protein kinase
AT1G74088.2	hexosyltransferase gaut
AT1G33330.2	peptide chain release factor
AT3G25600.1	calmodulin protein
AT5G66050.3	bifunctional nuclease
CARHR135360.1	eukaryotic translation initiation factor subunit
CARHR190090.1	high mobility group b protein
CARHR178540.3	cullin
AT2G35680.1	dual specificity protein phosphatase
AT5G24050.1	b3 domain containing protein
CARHR198160.1	homeobox leucine zipper protein
AT5G55020.1	myb transcription factor
AT4G15802.1	heat shock factor binding protein
CARHR159180.1	upf protein
AT1G15170.2	protein detoxification
AT2G40360.2	ribosome biogenesis protein bop
CARHR268620.2	serine threonine protein phosphatase catalytic subunit
AT1G80380.3	d glycerate 3 kinase chloroplastic
CARHR219680.1	auxin responsive protein saur
CARHR227170.2	alkylated dna repair protein alkbh
AT4G16810.1	polycomb group protein
CARHR034220.1	bhlh transcription factor
AT3G15430.5	ph rcc and containing protein
AT1G52500.2	formamidopyrimidine dna glycosylase
AT1G61440.3	g type lectin s receptor serine threonine protein kinase
AT5G20450.5	myosin
CARHR180990.1	proteasome activating nucleotidase
CARHR027300.1	dna excision repair protein ercc
AT1G11950.2	lysine specific demethylase jmj
CARHR232740.1	at hook motif nuclear localized protein
CARHR086650.1	tetraspanin
AT2G30730.2	proline rich receptor protein kinase perk
AT1G15820.1	i chlorophyll a b binding protein 3 1 chloroplastic
CARHR152830.1	dna directed rna polymerase subunit beta
CARHR243070.1	auxin responsive protein saur
CARHR066770.2	protein detoxification
AT2G21920.1	b3 domain containing protein
CARHR170970.1	zinc finger protein
CARHR046340.1	small polypeptide
CARHR185490.1	protein strictosidine synthase
CARHR203160.1	major pollen allergen
AT1G20880.1	glycine rich rna binding protein
AT1G66970.2	glycerophosphodiester phosphodiesterase gdpdl
AT1G48540.2	serine threonine protein kinase 11 interacting
AT4G16900.1	disease resistance protein
AT1G06120.1	acyl coa delta desaturase
AT3G63450.6	zinc finger ccch domain containing protein
CARHR042640.1	proline rich receptor protein kinase perk
CARHR063490.1	agamous mads box protein
CARHR208260.2	translocase of chloroplast 101 chloroplastic
AT1G49140.2	nadh dehydrogenase [ubiquinone] beta subcomplex subunit 10
AT4G14465.1	at hook motif nuclear localized protein
AT1G16370.1	solute carrier family member
AT4G22070.3	transcription factor wrky
CARHR213560.2	f box lrr repeat protein
CARHR272710.1	dehydrodolichyl diphosphate synthase chloroplastic
AT3G59940.1	f box kelch repeat protein
AT1G16460.4	thiosulfate 3 sulfurtransferase 1
AT5G61430.1	nac domain containing protein 21 22
AT2G40430.3	ribosome biogenesis protein nop
CARHR038830.1	small ribosomal subunit protein es
CARHR133390.1	diphosphomevalonate decarboxylase
AT1G11760.1	mediator of rna polymerase ii transcription subunit
AT5G57130.1	protein smax
AT3G07810.2	heterogeneous nuclear ribonucleoprotein
AT4G32720.1	la protein
CARHR216580.2	tyrosine aminotransferase
CARHR220300.1	e3 ubiquitin protein ligase
CARHR229170.3	f box protein
CARHR256410.1	indole acetic acid amido synthetase gh
AT3G23760.1	unknown protein
AT5G56400.1	f box fbd protein
AT3G55640.4	mitochondrial adenyl nucleotide antiporter slc25a24
AT2G04030.2	heat shock protein hsp 90 beta
AT3G15880.2	protein topless
AT4G32915.1	aspartyl glutamyl trna gln amidotransferase subunit c
CARHR086210.1	ndr hin protein
CARHR182890.1	photosystem i p700 chlorophyll a apoprotein a1
CARHR084770.1	peflin
AT5G48150.4	della protein gai
AT1G21840.2	urease accessory protein f
AT2G37920.1	dead box atp dependent rna helicase
AT4G38570.2	cdp diacylglycerol inositol 3 phosphatidyltransferase
AT1G13160.1	protein sda
CARHR110370.2	rna dependent polymerase
AT3G47790.1	abc transporter a family member
CARHR004530.1	clavata esr cle protein
AT3G01660.1	ubiquinone menaquinone biosynthesis c methyltransferase ubie
AT5G45340.1	abscisic acid 8 hydroxylase
CARHR135990.3	cysteine proteinase inhibitor
AT2G04845.5	n acetyltransferase protein
CARHR143110.1	glutathione s transferase protein
AT1G05670.2	pentatricopeptide repeat containing protein mitochondrial
CARHR106910.1	actin depolymerizing factor
CARHR259940.1	deoxyribodipyrimidine photo lyase
CARHR197490.1	bzip transcription factor
AT2G46070.2	mitogen activated protein kinase
AT2G20120.2	protein cov
AT1G51440.1	phospholipase a1 ii
AT1G53350.1	disease resistance protein rpp
AT3G57550.1	guanylate kinase
AT5G13480.2	polyadenylation factor subunit
CARHR034050.1	5 adenylylsulfate reductase
CARHR131210.1	dna damage binding protein
CARHR083970.1	phosphatidate phosphatase lpin
CARHR060320.1	photosystem ii reaction center proteins psby chloroplastic
CARHR142030.1	homeobox leucine zipper protein hox
AT1G24706.8	tho complex subunit
CARHR220940.1	inactive terpenoid synthase 20
CARHR070100.1	pyrophosphate fructose 6 phosphate 1 phosphotransferase
AT1G27135.1	embryo surrounding factor protein
AT2G01770.1	vacuolar iron transporter
CARHR131480.1	transcription factor
AT5G05610.2	phd finger protein alfin
AT3G59050.1	amine oxidase [flavin containing] b
CARHR276800.1	protein what s this factor 1 chloroplastic
AT1G50580.1	udp glycosyltransferase
AT2G37150.5	e3 ubiquitin protein ligase
CARHR237360.1	pyridoxal phosphate phosphatase phospho
CARHR259160.1	protein pollen
AT5G24420.1	6 phosphogluconolactonase 3
AT2G47800.1	abc transporter c family member
AT5G46500.3	disease resistance protein rps
AT5G49180.1	pectinesterase
AT3G05270.1	filament plant protein
CARHR087340.3	helicase swr
CARHR130750.1	ethylene responsive transcription factor erf
CARHR139330.2	methylenetetrahydrofolate reductase
CARHR149320.1	large ribosomal subunit protein
AT1G02145.3	dol p man 7 glcnac 2 pp alpha mannosyltransferase
CARHR192730.1	mapk kinase substrate protein
AT4G14147.1	actin protein 2 3 complex subunit
CARHR038390.1	arogenate dehydratase prephenate 1
CARHR079990.1	folate binding protein
AT2G47000.4	abc transporter b family member
CARHR104870.1	unknown protein
CARHR244230.1	ras protein rab 2a
AT1G72100.1	transmembrane protein
AT3G18470.1	protein plant cadmium resistance
CARHR048160.1	atp dependent rna helicase
AT1G27580.1	f box protein
CARHR211840.2	protein lysine n methyltransferase efm
CARHR137780.1	plant cysteine oxidase
CARHR223300.2	beta myrcene ocimene synthase 2 chloroplastic
AT2G43490.5	tbc domain family member
CARHR208460.1	transcription repressor ofp
CARHR230910.1	rrp protein
CARHR135340.1	glutaredoxin domain containing cysteine rich protein cg
AT3G45860.1	cysteine rich receptor protein kinase
CARHR207510.2	syntaxin
AT3G01190.1	anionic peroxidase
CARHR147390.1	alpha galactosidase
AT2G04050.1	protein detoxification
CARHR053000.1	fbd associated f box protein
CARHR088810.2	protein brevis radix
CARHR245210.1	unknown protein
AT5G50690.2	hydroxysteroid 11 beta dehydrogenase protein
CARHR094620.2	dna repair and recombination protein rad
CARHR276280.1	receptor expression enhancing protein
CARHR107350.2	f box protein
AT5G45200.3	disease resistance protein rps
CARHR101470.1	ras gtpase activating protein binding
AT4G09640.1	nipa protein
AT5G20910.1	e3 ubiquitin protein ligase rnf
AT1G49810.1	na + + antiporter
AT4G27410.2	nac domain containing protein
AT4G10695.2	f box protein
CARHR049670.1	disease resistance protein summ
CARHR063570.1	agamous mads box protein agl
AT4G02405.2	o methyltransferase 1 chloroplastic
CARHR001520.1	nac domain containing protein
AT5G66670.3	upf protein
CARHR078350.1	germin protein member
AT5G14780.3	formate dehydrogenase 1
CARHR064150.1	mlp protein
AT1G59560.1	e3 ubiquitin protein ligase
CARHR000580.2	serine threonine protein kinase bsk
CARHR244080.1	atp dependent dna helicase recq
CARHR027560.1	atp dependent dna helicase recq
CARHR030020.1	interacting receptor protein kinase
AT2G47850.2	zinc finger ccch domain containing protein
AT5G50780.2	morc family cw type zinc finger protein
CARHR134340.1	photosynthetic ndh subunit of lumenal location 1 chloroplastic
CARHR224720.1	f box kelch repeat protein
CARHR132190.1	protein slow green 1 chloroplastic
AT2G26070.2	transmembrane protein
CARHR197260.2	protein gf
AT5G57060.8	large ribosomal subunit protein el20z
CARHR091600.1	polyadenylate binding protein 1
CARHR120760.2	5 protein kinase subunit beta
CARHR241240.1	f box lrr repeat protein
CARHR078690.1	rich rna binding protein 4
CARHR079660.1	o fucosyltransferase
CARHR237290.1	induced receptor serine threonine protein kinase
AT1G74430.1	transcription factor myb
AT4G17770.2	alpha trehalose phosphate synthase [udp forming]
AT2G01750.2	microtubule associated protein
CARHR026010.1	3 ketoacyl coa synthase
AT1G13790.2	factor of dna methylation
CARHR212300.4	proline rich receptor protein kinase perk
AT5G04250.2	ovarian tumor domain containing deubiquitinating enzyme
CARHR025260.1	mlo protein
AT1G77440.1	proteasome subunit beta
CARHR180810.1	agamous mads box protein agl
